animal;group
AD21002;12m
AD21002-2;12m
AD21002-3;12m
AD21003;12m
AD21003-2;12m
AD21003-3;12m
AD21005;12m
AD21005-2;12m
AD21005-3;12m
AD21006;12m
AD21006-2;12m
AD21006-3;12m
AD21012;9m
AD21012-2;9m
AD21012-3;9m
AD21013;9m
AD21013-2;9m
AD21013-3;9m
AD21014;9m
AD21014-3;9m
AD21015;9m
AD21015-2;9m
AD21015-3;9m
AD21016;9m
AD21016-2;9m
AD21016-3;9m
AD21017;9m
AD21017-2;9m
AD21035;12m
AD21035-2;12m
AD21035-3;12m
AD21036;12m
AD21036-2;12m
AD21036-3;12m
AD21037;12m
AD21037-2;12m
AD21037-3;12m
AD21050;6m
AD21050-2;6m
AD21050-3;6m
AD21051;6m
AD21051-2;6m
AD21051-3;6m
AD21052;6m
AD21052-2;6m
AD21052-3;6m
AD21053;6m
AD21053-2;6m
AD21054;6m
AD21054-2;6m
AD21054-3;6m
AD21055;6m
AD21055-2;6m
AD21055-3;6m
AD22031;3m
AD22031-2;3m
AD22031-3;3m
AD22032;3m
AD22032-2;3m
AD22032-3;3m
AD22034;3m
AD22034-2;3m
AD22034-3;3m
AD22040;3m
AD22040-2;3m
AD22040-3;3m
AD22041;3m
AD22041-2;3m
AD22042;3m
AD22042-2;3m
AD22042-3;3m
